@relation car_v3-weka.filters.unsupervised.attribute.Remove-R1

@attribute buying numeric
@attribute maint numeric
@attribute doors numeric
@attribute persons numeric
@attribute lug_boot numeric
@attribute safety numeric
@attribute class {unacc,acc,good,vgood}

@data
20.09,0.45,5,6,354,1,unacc
11.25,0.52,2,2,188,2,unacc
27.61,0.57,3,6,157,1,unacc
12.05,0.58,5,4,557,2,good
49.78,0.59,5,4,587,2,acc
46.69,0.59,4,6,375,1,unacc
20.88,0.59,2,2,376,2,unacc
21.88,0.6,3,4,418,2,acc
46.14,0.6,4,2,122,3,unacc
9.81,0.6,2,6,385,1,unacc
32.41,0.61,4,6,191,3,acc
29.12,0.61,5,2,191,1,unacc
18.34,0.61,2,6,657,2,good
11.69,0.63,4,2,367,2,unacc
11.31,0.64,2,4,596,3,vgood
10.77,0.65,4,4,419,2,good
48.95,0.65,3,2,570,2,unacc
30.09,0.66,5,4,626,2,acc
45.36,0.66,2,6,183,3,unacc
31.28,0.67,4,6,382,1,unacc
19.46,0.67,3,2,198,2,unacc
11.72,0.68,4,6,208,2,acc
17.69,0.68,2,2,190,3,unacc
53.17,0.68,5,6,606,3,acc
30.51,0.68,4,2,186,3,unacc
40.64,0.69,2,6,193,1,unacc
20.44,0.69,2,6,183,1,unacc
21.1,0.7,4,4,318,1,unacc
51.04,0.7,4,2,436,3,unacc
29.88,0.71,4,6,271,1,unacc
27.01,0.73,4,6,191,2,unacc
12.78,0.73,5,4,381,2,good
22.17,0.73,2,6,216,2,unacc
49.8,0.74,5,2,606,1,unacc
10.59,0.74,2,4,407,3,good
21.17,0.74,4,6,403,1,unacc
28.6,0.74,4,6,534,3,acc
20.43,0.75,4,2,622,2,unacc
30.82,0.75,2,4,189,2,unacc
28.66,0.75,3,2,587,3,unacc
10.62,0.75,4,4,614,3,vgood
29.8,0.76,2,2,183,1,unacc
30.55,0.76,3,2,156,2,unacc
31.78,0.77,2,6,626,1,unacc
51.78,0.77,2,2,409,1,unacc
20.45,0.77,5,6,184,1,unacc
52.52,0.78,2,4,571,2,acc
10.21,0.78,3,4,205,2,acc
29.11,0.78,3,6,361,1,unacc
18.22,0.78,5,4,406,3,vgood
29.12,0.78,4,2,388,1,unacc
46.86,0.78,5,4,592,3,acc
30.68,0.78,5,4,559,3,acc
48.19,0.78,2,6,441,1,unacc
13.93,0.79,5,2,572,3,unacc
20.51,0.79,3,6,202,2,acc
11.84,0.8,3,6,558,1,unacc
44.02,0.8,5,6,397,2,acc
19.92,0.8,2,2,278,1,unacc
11.99,0.8,5,2,380,2,unacc
49.61,0.81,5,6,446,3,acc
54.24,0.81,5,2,209,1,unacc
49.44,0.81,3,4,162,3,acc
50.06,0.81,3,4,393,3,acc
14.12,0.81,3,4,559,3,vgood
12.55,0.81,2,2,599,3,unacc
18.9,0.81,3,6,634,3,vgood
45.93,0.82,4,6,616,1,unacc
10.84,0.82,2,6,390,3,good
21.08,0.82,4,4,606,2,good
11.77,0.82,3,4,587,2,good
20.36,0.82,3,4,591,1,unacc
13.61,0.83,2,4,203,1,unacc
11.27,0.83,2,4,588,2,good
52.19,0.83,2,2,412,2,unacc
10.88,0.83,5,6,576,3,vgood
11.95,0.84,5,6,588,1,unacc
28.06,0.84,5,4,587,1,unacc
51.19,0.84,2,2,183,1,unacc
30.37,0.84,5,4,181,1,unacc
43.95,0.85,5,4,382,2,acc
52.96,0.86,5,2,380,3,unacc
30.02,0.86,5,4,189,2,unacc
