,Date,Price,Open,High,Low,"Vol,","Chg, %"
44,19.10.2023,"60,66","63,36","63,38","60,5","1,53M","-4,08%"
43,20.10.2023,"60,9","60,34","61,38","59,74","1,23M","0,40%"
42,23.10.2023,"59,97","60,69","60,84","59,26","993,30K","-1,53%"
41,24.10.2023,"62,35","60,89","62,44","60,32","1,75M","3,97%"
40,25.10.2023,"61,58","62,18","63,46","61,47","1,29M","-1,23%"
39,26.10.2023,"59,85","61,35","61,57",59,"1,21M","-2,81%"
38,27.10.2023,"58,72","59,8","61,67","58,36","1,95M","-1,89%"
37,30.10.2023,"59,61","58,93","60,58","57,78","1,49M","1,52%"
36,31.10.2023,"60,82","59,44",61,"58,54","1,04M","2,03%"
35,01.11.2023,"62,13","60,75","62,14","60,21","1,27M","2,15%"
34,02.11.2023,"63,31","62,46","63,46","62,23","1,15M","1,90%"
33,03.11.2023,"65,5","63,81","66,17","63,72","1,53M","3,46%"
32,06.11.2023,"66,27","65,16","66,61","64,87","1,34M","1,18%"
31,07.11.2023,"67,81","66,49","67,97","65,67","1,64M","2,32%"
30,08.11.2023,"67,92","67,81","68,42","66,55","1,30M","0,16%"
29,09.11.2023,"66,75","68,46","68,46","65,89","1,32M","-1,72%"
28,10.11.2023,"66,97","67,01","67,27","65,34","960,99K","0,33%"
27,13.11.2023,"66,39","66,89","67,1","66,04","995,38K","-0,87%"
26,14.11.2023,"68,68","68,2","69,86","67,99","1,64M","3,45%"
25,15.11.2023,"69,8","69,95","71,85","69,77","1,72M","1,63%"
24,16.11.2023,"68,98",69,"70,32","67,84","1,79M","-1,17%"
23,17.11.2023,"73,57","70,58","74,47","70,18","2,65M","6,65%"
22,20.11.2023,"72,29","73,27","74,75","72,14","3,02M","-1,74%"
21,21.11.2023,"74,03","70,22","74,77","65,6","5,86M","2,41%"
20,22.11.2023,"72,81","73,43","75,32","71,14","2,03M","-1,65%"
19,24.11.2023,"73,31","73,45",74,"72,13","715,61K","0,69%"
18,27.11.2023,"76,4","73,6","76,41","72,98","1,94M","4,21%"
17,28.11.2023,"77,73","76,12","77,87","74,68","1,39M","1,74%"
16,29.11.2023,"76,13",78,"78,41","75,82","1,29M","-2,06%"
15,30.11.2023,"75,89","76,01","76,77","75,2","1,45M","-0,32%"
14,01.12.2023,"77,88","75,81","78,29","75,18","1,32M","2,62%"
13,04.12.2023,"77,22","77,75","78,83","76,01","1,17M","-0,85%"
12,05.12.2023,"77,73","77,17","77,79","75,69","1,23M","0,66%"
11,06.12.2023,"77,13","78,51","79,18","77,04","1,20M","-0,77%"
10,07.12.2023,"77,94","76,96","78,16","76,82","1,02M","1,05%"
9,08.12.2023,"78,65","77,6","78,76","77,31","784,09K","0,91%"
8,11.12.2023,"81,63","79,46","82,14","79,2","1,40M","3,79%"
7,12.12.2023,"83,52","81,6","84,59","81,28","1,33M","2,32%"
6,13.12.2023,"83,75","83,56","84,45","82,8","1,73M","0,28%"
5,14.12.2023,"83,82","84,73","86,09","82,77","1,20M","0,08%"
4,15.12.2023,"84,17","83,87","85,15","82,6","2,91M","0,42%"
3,18.12.2023,"86,67","84,19","86,8","83,5","1,21M","2,97%"
2,19.12.2023,"90,96","87,21","91,32","86,91","1,50M","4,95%"
1,20.12.2023,"89,89","90,85","92,24","89,63","1,56M","-1,18%"
45,Open:63.36,,,Highest:92.24,Chg. %:42.14%,Lowest:57.78,
