,Date,Price,Open,High,Low,Vol.,Chg. %
45,19/10/2023,"1178,59","1175,87","1185,03","1172,44","15,48M","-0,02%"
44,20/10/2023,"1174,91","1171,5","1177,31","1166,48","19,72M","-0,31%"
43,23/10/2023,"1173,7","1179,43","1189,52","1171,99","21,41M","-0,10%"
42,24/10/2023,"1196,56","1180,11","1198,17","1178,91","33,10M","1,95%"
41,25/10/2023,"1185,24","1198,32","1199,65","1184,34","16,23M","-0,95%"
40,26/10/2023,"1177,39","1178,03","1180,62","1167,38","23,36M","-0,66%"
39,27/10/2023,"1178,79","1179,88","1189,66","1174,95","14,42M","0,12%"
38,30/10/2023,"1186,38","1183,4","1186,79","1179,13","14,48M","0,64%"
37,31/10/2023,"1193,1","1185,4","1195,26","1185,4","15,27M","0,57%"
36,01/11/2023,"1196,48","1195,38","1199,64","1188,1","12,14M","0,28%"
35,02/11/2023,"1219,99","1200,52","1219,99","1199,66","19,64M","1,96%"
34,03/11/2023,"1219,77","1226,81","1234,54","1217,25","20,63M","-0,02%"
33,06/11/2023,"1237,37","1226,85","1237,38","1226,85","14,17M","1,44%"
32,07/11/2023,"1228,87","1236,38","1240,75","1225,83","17,16M","-0,69%"
31,08/11/2023,"1227,27","1230,11","1233,29","1222,28","12,50M","-0,13%"
30,09/11/2023,"1218,07","1227,88","1230,76","1213,38","18,41M","-0,75%"
29,10/11/2023,"1203,08","1216,93","1217,17","1199,18","17,02M","-1,23%"
28,13/11/2023,"1205,55","1204,45","1208,02","1196,46","249,21M","0,21%"
27,14/11/2023,"1235,27","1207,15","1236,13","1205,45","33,46M","2,47%"
26,15/11/2023,"1238,76","1236,93","1240,61","1231,29","20,51M","0,28%"
25,16/11/2023,"1239,39","1238,31","1242,68","1233,17","21,33M","0,05%"
24,17/11/2023,"1250,44","1239,03","1263,82","1239,03","216,14M","0,89%"
23,20/11/2023,"1248,63","1252,66",1260,"1245,38","25,61M","-0,14%"
22,21/11/2023,"1242,2","1253,27","1259,12","1242,02","68,97M","-0,51%"
21,22/11/2023,"1258,74","1248,83","1258,86","1247,28","28,85M","1,33%"
20,23/11/2023,"1260,52","1256,58","1260,65","1254,5","16,45M","0,14%"
19,24/11/2023,"1258,73","1260,78","1261,9","1251,5","14,06M","-0,14%"
18,27/11/2023,"1265,36","1260,06","1267,31","1255,65","22,66M","0,53%"
17,28/11/2023,"1264,69","1263,99","1266,66","1259,4","20,98M","-0,05%"
16,29/11/2023,"1271,2","1266,05","1272,37","1265,99","21,25M","0,51%"
15,30/11/2023,"1275,13","1273,24","1275,41","1269,68","48,11M","0,31%"
14,01/12/2023,"1280,11","1272,19","1280,48","1272,19","13,78M","0,39%"
13,04/12/2023,"1275,34","1283,48","1284,54","1273,87","18,26M","-0,37%"
12,05/12/2023,"1270,35","1273,74","1276,64","1258,03","29,93M","-0,39%"
11,06/12/2023,"1273,48","1272,1","1275,82","1268,88","15,14M","0,25%"
10,07/12/2023,"1273,33","1273,45","1276,67","1270,39","21,63M","-0,01%"
9,08/12/2023,"1275,09","1272,85","1275,51","1268,04","49,18M","0,14%"
8,11/12/2023,"1275,5","1275,83","1276,92","1271,89","12,54M","0,03%"
7,12/12/2023,"1283,12","1277,12","1284,34","1275,83","18,41M","0,60%"
6,13/12/2023,"1292,35","1284,26","1292,52","1284,26","18,10M","0,72%"
5,14/12/2023,"1295,37","1298,16","1304,74","1293,95","23,89M","0,23%"
4,15/12/2023,"1290,79","1296,68","1298,24","1285,93","37,57M","-0,35%"
3,18/12/2023,"1287,22","1288,92","1290,72","1284,69","17,65M","-0,28%"
2,19/12/2023,"1298,48","1285,68","1302,34","1285,68","24,33M","0,87%"
1,20/12/2023,"1301,81","1299,12","1303,7","1297,13","14,76M","0,26%"
46,Open:1175.87,,,Highest:1304.74,Chg. %:10.43%,Lowest:1166.48,
