,Date,Price,Open,High,Low,"Vol,","Chg, %"
45,19/10/2023,"2,82","2,81","2,82","2,81","11,50K","0,00%"
44,20/10/2023,"2,82","2,81","2,82","2,81","9,56K","0,00%"
43,23/10/2023,"2,82","2,79","2,82","2,79","7,73K","0,00%"
42,24/10/2023,"2,83","2,85","2,85","2,8","7,80K","0,35%"
41,25/10/2023,"2,83","2,79","2,83","2,78","5,01K","0,00%"
40,26/10/2023,"2,85","2,81","2,85","2,81","4,34K","0,71%"
39,27/10/2023,"2,86","2,85","2,86","2,85","2,80K","0,35%"
38,30/10/2023,"2,87","2,84","2,87","2,84","2,85K","0,35%"
37,31/10/2023,"2,9","2,87","2,9","2,87","3,45K","1,05%"
36,01/11/2023,"2,9","2,9","2,9","2,9","2,84K","0,00%"
35,02/11/2023,"2,9","2,9","2,9","2,9","2,09K","0,00%"
34,03/11/2023,"2,93","2,92","2,93","2,92","2,37K","1,03%"
33,06/11/2023,"2,93","2,93","2,93","2,93","1,85K","0,00%"
32,07/11/2023,"2,95","2,93","2,95","2,9","2,27K","0,68%"
31,08/11/2023,"2,95","2,93","2,95","2,93","2,65K","0,00%"
30,09/11/2023,"2,95","2,96","2,96","2,93","5,03K","0,00%"
29,10/11/2023,"2,95","2,95","2,95","2,95","1,95K","0,00%"
28,13/11/2023,"2,95","2,95","2,96","2,95","2,41K","0,00%"
27,14/11/2023,"2,95","2,95","2,95","2,95","2,50K","0,00%"
26,15/11/2023,"2,95","2,95","2,95","2,95","2,26K","0,00%"
25,16/11/2023,"2,95","2,95","2,95","2,95","2,04K","0,00%"
24,17/11/2023,"2,95","2,95","2,95","2,95","2,42K","0,00%"
23,20/11/2023,"2,97","2,95","2,97","2,95","3,48K","0,68%"
22,21/11/2023,"2,97","2,97","2,98","2,96","1,78K","0,00%"
21,22/11/2023,"2,97","2,97","2,97","2,97","3,26K","0,00%"
20,23/11/2023,"2,97","2,97","2,97","2,97","1,36K","0,00%"
19,24/11/2023,"2,97","2,97","2,97","2,97","1,26K","0,00%"
18,27/11/2023,3,"2,97",3,"2,97","1,50K","1,01%"
17,28/11/2023,3,3,"3,15",3,"4,00K","0,00%"
16,29/11/2023,"3,03",3,"3,03",3,"4,01K","1,00%"
15,30/11/2023,"3,03","3,03","3,03","3,03","2,10K","0,00%"
14,01/12/2023,"3,05","3,03","3,05","3,03","3,43K","0,66%"
13,04/12/2023,"3,05","3,05","3,07","3,05","31,41K","0,00%"
12,05/12/2023,"3,06","3,05","3,08","3,05","2,30K","0,33%"
11,06/12/2023,"3,06","3,06","3,09","3,06","2,71K","0,00%"
10,07/12/2023,"3,06","3,06","3,06","3,06","3,03K","0,00%"
9,08/12/2023,"3,07","3,06","3,07","3,02","4,89K","0,33%"
8,11/12/2023,"3,06","3,06","3,07","3,06","3,76K","-0,33%"
7,12/12/2023,"3,07","3,06","3,07","3,06","4,88K","0,33%"
6,13/12/2023,"3,07","3,06","3,07","3,06","3,82K","0,00%"
5,14/12/2023,"3,07","3,07","3,07","3,07","2,69K","0,00%"
4,15/12/2023,"3,08","3,07","3,08","3,06","4,56K","0,33%"
3,18/12/2023,"3,08","3,08","3,08","3,07","4,45K","0,00%"
2,19/12/2023,"3,1","3,08","3,1","3,08","2,92K","0,65%"
1,20/12/2023,"3,11","3,1","3,11","3,1","2,57K","0,32%"
46,"Open:2,81",,,"Highest:3,15","Chg, %:10,28%","Lowest:2,78",
