,Date,Price,Open,High,Low,"Vol,","Chg, %"
44,19.10.2023,9010,9200,9200,8870,"312,77K","-2,70%"
43,20.10.2023,9070,9060,9145,8840,"292,05K","0,67%"
42,23.10.2023,8960,9060,9170,8830,"400,20K","-1,21%"
41,24.10.2023,9260,9080,9430,9080,"279,41K","3,35%"
40,25.10.2023,9790,9200,9860,9150,"698,34K","5,72%"
39,26.10.2023,9530,9800,9840,9270,"477,32K","-2,66%"
38,27.10.2023,9690,9655,9740,9450,"298,13K","1,68%"
37,30.10.2023,9650,9800,10150,9530,"839,19K","-0,41%"
36,31.10.2023,9620,9540,10000,9200,"820,17K","-0,31%"
35,01.11.2023,9620,9720,9720,9300,"333,81K","0,00%"
34,02.11.2023,9490,9690,9820,9420,"226,89K","-1,35%"
33,03.11.2023,9570,9580,9690,9282,"289,12K","0,84%"
32,06.11.2023,9620,9650,9990,9508,"441,25K","0,52%"
31,07.11.2023,9550,9650,9665,9400,"219,31K","-0,73%"
30,08.11.2023,9890,9620,9940,9570,"309,66K","3,56%"
29,09.11.2023,9840,10000,10000,9720,"255,64K","-0,51%"
28,10.11.2023,10310,9900,10420,9760,"779,57K","4,78%"
27,13.11.2023,9990,10390,10390,9860,"392,02K","-3,10%"
26,14.11.2023,10930,10150,10930,10120,"687,58K","9,41%"
25,15.11.2023,11120,11000,11670,10810,"822,08K","1,74%"
24,16.11.2023,10920,11010,11060,10810,"340,69K","-1,80%"
23,17.11.2023,11330,11000,11459,10960,"581,89K","3,75%"
22,20.11.2023,11410,11300,11450,11250,"551,05K","0,71%"
21,21.11.2023,11740,11410,11750,11270,"628,71K","2,89%"
20,22.11.2023,11910,11810,12010,11750,"525,45K","1,45%"
19,24.11.2023,12170,11930,12230,11880,"284,59K","2,18%"
18,27.11.2023,11760,12170,12420,11740,"692,85K","-3,37%"
17,28.11.2023,11270,11770,11770,11230,"624,84K","-4,17%"
16,29.11.2023,10870,11350,11450,10850,"546,00K","-3,55%"
15,30.11.2023,10430,10910,10910,10100,"883,13K","-4,05%"
14,01.12.2023,10870,10430,10965,10280,"657,73K","4,22%"
13,04.12.2023,10250,10880,10930,10180,"1,03M","-5,70%"
12,05.12.2023,8800,9030,10030,8750,"2,17M","-14,15%"
11,06.12.2023,8560,8800,8850,7940,"1,22M","-2,73%"
10,07.12.2023,8440,8570,8570,8262,"900,94K","-1,40%"
9,08.12.2023,8430,8440,8800,8370,"997,68K","-0,12%"
8,11.12.2023,8300,8390,8500,8285,"876,18K","-1,54%"
7,12.12.2023,8240,8300,8420,8120,"686,18K","-0,72%"
6,13.12.2023,8430,8210,8595,8180,"736,25K","2,31%"
5,14.12.2023,8410,8480,8660,8230,"1,02M","-0,24%"
4,15.12.2023,8430,8520,8520,8280,"1,06M","0,24%"
3,18.12.2023,8390,8480,8570,8350,"626,06K","-0,47%"
2,19.12.2023,8610,8430,8625,8390,"546,56K","2,62%"
1,20.12.2023,8600,8560,8855,8548,"457,06K","-0,12%"
45,Open:9.200,,,Highest:12.420,Chg. %:-7.13%,Lowest:7.940,
