,Date,Price,Open,High,Low,"Vol,","Chg, %"
44,19.10.2023,"33413,45","33684,83","33847,31","33369,54","298,76M","-0,75%"
43,20.10.2023,"33127,21","33360,52","33423,71","33119,5","318,40M","-0,86%"
42,23.10.2023,"32936,34","32995,76","33234,85","32893,83","337,82M","-0,58%"
41,24.10.2023,"33141,32","33089,64","33271,99","32988,43","347,13M","0,62%"
40,25.10.2023,"33035,93","33203,53","33267,1","32991,15","348,53M","-0,32%"
39,26.10.2023,"32784,3","33013,92","33103,58","32745,14","369,36M","-0,76%"
38,27.10.2023,"32418,05","32772,91","32787,51","32328,8","367,18M","-1,12%"
37,30.10.2023,"32928,83","32651,69","33002,7","32645,38","292,74M","1,58%"
36,31.10.2023,"33052,74","33029,11","33069,7","32788,18","292,50M","0,38%"
35,01.11.2023,"33274,58","33081,87","33334,52","33013,92","299,87M","0,67%"
34,02.11.2023,"33839,11","33468,04","33852,76","33451,35","296,57M","1,70%"
33,03.11.2023,"34061,32","33979,89","34163,31","33947,23","303,22M","0,66%"
32,06.11.2023,"34095,86","34085,31","34163,52","33989,72","258,08M","0,10%"
31,07.11.2023,"34152,8","34069,56","34206,54","34027,49","273,98M","0,17%"
30,08.11.2023,"34112,8","34192,84","34251,91","33997,33","265,50M","-0,12%"
29,09.11.2023,"33891,68","34163,71","34164,8",33861,"314,48M","-0,65%"
28,10.11.2023,"34283,1","34048,02","34309,76","33905,62","290,39M","1,15%"
27,13.11.2023,"34337,67","34243,14","34405,54","34208,53","238,99M","0,16%"
26,14.11.2023,"34827,7","34662,83","34931,01","34645,94","322,06M","1,43%"
25,15.11.2023,"34991,21","34896,86","35051,04","34871,4","332,23M","0,47%"
24,16.11.2023,"34945,6","34877,25","35022,46",34819,"428,29M","-0,13%"
23,17.11.2023,"34947,28","35018,83","35028,22","34883,03","323,66M","0,00%"
22,20.11.2023,"35150,97","34928,27","35226,82","34907,98","320,68M","0,58%"
21,21.11.2023,"35088,29","35113,5","35117,26","35038,99","263,11M","-0,18%"
20,22.11.2023,"35272,77","35189,33","35315,12","35155,8","232,92M","0,53%"
19,24.11.2023,"35390,57","35299,9","35399,04","35299,9","97,67M","0,33%"
18,27.11.2023,"35333,4","35376,44","35407,57","35280,67","249,92M","-0,16%"
17,28.11.2023,"35416,91","35332,13","35518,55","35308,54","252,35M","0,24%"
16,29.11.2023,"35430,55","35436,8","35579,04","35406,36","283,05M","0,04%"
15,30.11.2023,"35950,96","35596,57","35970,03","35592,22","372,35M","1,47%"
14,01.12.2023,"36245,5","35914,45","36264,75","35914,45","314,41M","0,82%"
13,04.12.2023,"36204,44","36039,24","36237,84","36031,87","324,11M","-0,11%"
12,05.12.2023,"36124,56","36097,44","36164,1","36012,18","303,78M","-0,22%"
11,06.12.2023,"36054,43","36183,73","36291,87","36024,35","275,37M","-0,19%"
10,07.12.2023,"36117,57","36124,17","36163,97","36022,21","277,04M","0,18%"
9,08.12.2023,"36247,74","36084,82","36296,2","36064,46","275,24M","0,36%"
8,11.12.2023,"36404,8","36274,85","36415,25","36232,2","329,22M","0,43%"
7,12.12.2023,"36577,94","36442,1","36596,11","36373,84","280,72M","0,48%"
6,13.12.2023,"37090,83","36580,03","37092,52","36524,38","341,51M","1,40%"
5,14.12.2023,"37248,28","37115,63","37286,68","37051,52","442,70M","0,42%"
4,15.12.2023,"37309,22","37194,5","37346,06","37124,42","649,35M","0,16%"
3,18.12.2023,"37305,95","37323,65","37392,92","37285,39","280,46M","-0,01%"
2,19.12.2023,"37557,98","37311,82","37561,84","37311,82","259,63M","0,68%"
1,20.12.2023,"37082,39","37520,13","37641,3","37075,82","289,71M","-1,27%"
45,"Open:33684,83",,,"Highest:37641,30","Chg, %:10,15%","Lowest:32328,80",
