,Date,Price,Open,High,Low,"Vol,","Chg, %"
44,19.10.2023,"113,02","112,72","113,96","111,32","20,92M","0,06%"
43,20.10.2023,"111,08","112,92","113,32","110,79","22,34M","-1,72%"
42,23.10.2023,"109,45","110,63","110,96","108,68","18,18M","-1,47%"
41,24.10.2023,"108,39","109,7","109,82","108,12","16,76M","-0,97%"
40,25.10.2023,"108,59","108,52","109,5","108,13","22,03M","0,18%"
39,26.10.2023,"107,6","107,45","108,34","106,5","18,67M","-0,91%"
38,27.10.2023,"105,55","108,89","109,86","104,96","23,09M","-1,91%"
37,30.10.2023,"105,88","105,74","106,42","105,21","19,28M","0,31%"
36,31.10.2023,"105,85","105,58","106,16","104,54","22,13M","-0,03%"
35,01.11.2023,"105,64","106,53","107,17","105,46","28,85M","-0,20%"
34,02.11.2023,"109,11","105,88","109,19","105,5","24,94M","3,28%"
33,03.11.2023,"107,78","108,4","108,78","106,54","30,56M","-1,22%"
32,06.11.2023,"105,87","108,17","108,27","105,77","19,10M","-1,77%"
31,07.11.2023,"104,21","104,47","104,86","103,29","20,27M","-1,57%"
30,08.11.2023,"102,93","103,73","104,9","102,89","18,53M","-1,23%"
29,09.11.2023,"102,96","103,67","103,97","102,86","18,38M","0,03%"
28,10.11.2023,"103,75","103,93","104,41","102,9","17,83M","0,77%"
27,13.11.2023,"104,84","104,05","105,14","103,81","15,27M","1,05%"
26,14.11.2023,"104,29","104,3","104,82","103,87","18,26M","-0,52%"
25,15.11.2023,"103,66","103,96","105,15","103,5","20,14M","-0,60%"
24,16.11.2023,"102,46","102,9","103,27","101,15","22,47M","-1,16%"
23,17.11.2023,"104,96","103,06","105,43","102,75","22,99M","2,44%"
22,20.11.2023,"104,5","105,38","105,88","104,43","17,39M","-0,44%"
21,21.11.2023,"104,46","104,21","104,69","103,21","14,93M","-0,04%"
20,22.11.2023,"104,01","102,58","104,12","101,94","18,07M","-0,43%"
19,24.11.2023,"104,57","104,02","105,46","103,91","9,48M","0,54%"
18,27.11.2023,"103,96","104,1","104,4","103,18","17,99M","-0,58%"
17,28.11.2023,"103,9","104,24","104,91","103,88","20,61M","-0,06%"
16,29.11.2023,"102,34","104,27","104,58","101,64","26,78M","-1,50%"
15,30.11.2023,"102,74","103,11","104,48","101,81","28,34M","0,39%"
14,01.12.2023,"102,99","102,5","104,22","102,22","17,85M","0,24%"
13,04.12.2023,"102,43","102,13","103,36","101,59","21,52M","-0,54%"
12,05.12.2023,"100,44","102,27","102,34","100,29","22,20M","-1,94%"
11,06.12.2023,"99,11",100,"100,72","98,34","31,12M","-1,32%"
10,07.12.2023,"98,42","99,86","100,83","98,09","29,88M","-0,70%"
9,08.12.2023,"99,55","99,02","99,79","98,75","22,07M","1,15%"
8,11.12.2023,"99,62","99,8","99,86","98,58","22,22M","0,07%"
7,12.12.2023,"98,05","98,68","98,68","97,48","24,58M","-1,58%"
6,13.12.2023,"98,92","98,04","99,03","97,65","19,56M","0,89%"
5,14.12.2023,"101,58","99,85","102,14","99,72","26,11M","2,69%"
4,15.12.2023,"100,9","100,59",101,"100,31","55,53M","-0,67%"
3,18.12.2023,"101,65","102,13","103,11","101,52","21,61M","0,74%"
2,19.12.2023,"102,99",102,"103,19","101,79","18,87M","1,32%"
1,20.12.2023,"101,27","103,5","103,94","101,13","20,85M","-1,67%"
45,"Open:112,72",,,"Highest:113,96","Chg, %:-10,34%","Lowest:97,48",
