,Date,Price,Open,High,Low,Vol.,Chg. %
45,19/10/2023,"7,52","7,5","7,73","7,5","14,62K","0,00%"
44,20/10/2023,"7,68","7,57","7,69","7,46","137,53K","2,13%"
43,23/10/2023,"7,5","7,68","7,69","7,44","17,14K","-2,34%"
42,24/10/2023,"7,72","7,48","7,84","7,48","28,55K","2,93%"
41,25/10/2023,"7,5","7,73","7,75","7,5","18,31K","-2,85%"
40,26/10/2023,"7,64","7,51","7,68","7,4","81,49K","1,87%"
39,27/10/2023,"7,75","7,62","7,75","7,56","18,89K","1,44%"
38,30/10/2023,"7,94","7,72","8,06","7,72","32,03K","2,45%"
37,31/10/2023,"7,85","7,95","7,95","7,77","163,43K","-1,13%"
36,01/11/2023,"7,9","7,9","7,96","7,85","11,03K","0,64%"
35,02/11/2023,"7,96","7,9","7,96","7,83","163,15K","0,76%"
34,03/11/2023,"7,94","7,96","7,96","7,86","91,86K","-0,25%"
33,06/11/2023,"7,94","7,94","7,94","7,88","19,97K","0,00%"
32,07/11/2023,8,"7,95","8,04","7,91","46,65K","0,76%"
31,08/11/2023,"8,07","8,05","8,07","7,82","87,32K","0,87%"
30,09/11/2023,8,"8,04","8,1","7,98","8,20K","-0,87%"
29,10/11/2023,"7,9","7,96","7,99","7,88","517,22K","-1,25%"
28,13/11/2023,8,"7,9","8,12","7,9","30,44K","1,27%"
27,14/11/2023,"8,13","7,97","8,34","7,97","16,76K","1,63%"
26,15/11/2023,"8,31","8,14","8,52","8,14","28,72K","2,21%"
25,16/11/2023,"8,5","7,98","8,52","7,98","59,48K","2,29%"
24,17/11/2023,"8,5","8,49","8,56","8,4","26,50K","0,00%"
23,20/11/2023,"8,39","8,5","8,56","8,38","11,94K","-1,29%"
22,21/11/2023,"8,08","8,44","8,46","8,08","31,25K","-3,69%"
21,22/11/2023,"8,08","8,08","8,29","8,03","26,87K","0,00%"
20,23/11/2023,"8,18","8,14","8,26","8,08","16,24K","1,24%"
19,24/11/2023,"8,05","8,18","8,22","8,02","12,38K","-1,59%"
18,27/11/2023,"8,5","8,11","8,5","7,95","33,87K","5,59%"
17,28/11/2023,"8,12","8,48","8,48","8,12","15,35K","-4,47%"
16,29/11/2023,"8,05","8,14","8,28","8,05","21,71K","-0,86%"
15,30/11/2023,"7,83","8,09","8,16","7,77","192,45K","-2,73%"
14,01/12/2023,8,"7,83","8,03","7,8","126,70K","2,17%"
13,04/12/2023,"8,03",8,"8,1","7,94","31,90K","0,37%"
12,05/12/2023,"7,94","8,05","8,05","7,92","30,70K","-1,12%"
11,06/12/2023,"7,85","7,97","7,97","7,73","371,29K","-1,13%"
10,07/12/2023,"7,67","7,85","7,85","7,66","111,51K","-2,29%"
9,08/12/2023,"7,89","7,72","7,91","7,72","88,96K","2,87%"
8,11/12/2023,"7,98","7,89","7,98","7,89","25,77K","1,14%"
7,12/12/2023,"8,08","7,98","8,26","7,94","236,89K","1,25%"
6,13/12/2023,"8,06","8,06","8,27","8,05","48,44K","-0,25%"
5,14/12/2023,"8,18","8,1","8,29","8,1","133,70K","1,49%"
4,15/12/2023,8,"8,18","8,29",8,"53,34K","-2,20%"
3,18/12/2023,8,"8,01","8,08","7,97","45,28K","0,00%"
2,19/12/2023,8,8,"8,09","7,92","149,34K","0,00%"
1,20/12/2023,"8,11","8,09","8,18","7,92","252,17K","1,37%"
46,Open:7.50,,,Highest:8.56,Chg. %:7.85%,Lowest:7.40,
