,Date,Price,Open,High,Low,Vol.,Chg. %
45,19/10/2023,7,"6,9","7,17","6,8","61,88K","1,45%"
44,20/10/2023,"6,95","6,96","6,99","6,84","75,00K","-0,71%"
43,23/10/2023,"6,85","6,95","7,17","6,8","41,82K","-1,44%"
42,24/10/2023,"6,95","6,94","6,97","6,77","72,01K","1,46%"
41,25/10/2023,"6,82","6,96","6,97","6,82","54,38K","-1,87%"
40,26/10/2023,"6,75","6,82","6,88","6,75","52,74K","-1,03%"
39,27/10/2023,"6,87","6,75","6,95","6,75","60,63K","1,78%"
38,30/10/2023,"6,88","6,87","6,96","6,87","32,38K","0,15%"
37,31/10/2023,"6,93","6,98","7,01","6,9","106,61K","0,73%"
36,01/11/2023,"7,3","6,93","7,34","6,93","110,08K","5,34%"
35,02/11/2023,"7,43","7,35","7,5","7,34","87,94K","1,78%"
34,03/11/2023,"7,51","7,54","7,56","7,45","126,73K","1,08%"
33,06/11/2023,"7,55","7,6","7,65","7,51","67,33K","0,53%"
32,07/11/2023,"7,48","7,55","7,64","7,48","114,14K","-0,93%"
31,08/11/2023,"7,54","7,5","7,61","7,35","180,95K","0,80%"
30,09/11/2023,"7,55","7,52","7,63","7,47","134,46K","0,13%"
29,10/11/2023,"7,45","7,47","7,54","7,39","57,59K","-1,32%"
28,13/11/2023,"7,5","7,42","7,5","7,36","122,71K","0,67%"
27,14/11/2023,"7,74","7,41","7,79","7,41","156,26K","3,20%"
26,15/11/2023,"7,78","7,7","7,84","7,7","188,67K","0,52%"
25,16/11/2023,"7,8","7,75","7,81","7,68","73,03K","0,26%"
24,17/11/2023,"7,9","7,81","7,9","7,79","109,51K","1,28%"
23,20/11/2023,"7,72","7,9",8,"7,69","102,81K","-2,28%"
22,21/11/2023,"7,68","7,8","7,85","7,68","93,08K","-0,52%"
21,22/11/2023,"7,87","7,7","7,87","7,7","73,90K","2,47%"
20,23/11/2023,"7,84","7,9","7,94","7,74","83,67K","-0,38%"
19,24/11/2023,"7,75","7,84","7,84","7,72","190,79K","-1,15%"
18,27/11/2023,"7,66","7,73","7,73","7,54","276,00K","-1,16%"
17,28/11/2023,"7,65","7,7","7,75","7,6","271,45K","-0,13%"
16,29/11/2023,"7,65","7,65","7,73","7,61","395,67K","0,00%"
15,30/11/2023,"7,61","7,65","7,8","7,61","622,44K","-0,52%"
14,01/12/2023,"7,58","7,61","7,7","7,55","369,70K","-0,39%"
13,04/12/2023,"7,45","7,6","7,67","7,45","315,48K","-1,72%"
12,05/12/2023,"7,45","7,48","7,53","7,45","318,39K","0,00%"
11,06/12/2023,"7,77","7,45","7,77","7,45","406,86K","4,30%"
10,07/12/2023,"7,7","7,84","7,9","7,61","228,96K","-0,90%"
9,08/12/2023,"7,27","7,5","7,5","7,25","37,55M","-5,58%"
8,11/12/2023,"7,17","7,25","7,29","7,15","1,55M","-1,38%"
7,12/12/2023,"7,1","7,2","7,21","7,1","2,17M","-0,98%"
6,13/12/2023,"7,18","7,14","7,19","7,11","1,21M","1,13%"
5,14/12/2023,"7,26","7,23","7,28","7,18","1,38M","1,11%"
4,15/12/2023,"7,21","7,25","7,31","7,21","2,52M","-0,69%"
3,18/12/2023,"7,2","7,2","7,27","7,18","675,97K","-0,14%"
2,19/12/2023,"7,16","7,24","7,25","7,16","435,94K","-0,56%"
1,20/12/2023,"7,16","7,17","7,23","7,1","451,32K","0,00%"
46,"Open:6,90",,,"Highest:8,00","Chg, %:3,77%","Lowest:6,75",
