,Date,Price,Open,High,Low,"Vol,","Chg, %"
44,19.10.2023,"29,19","28,69","29,56","28,52","15,97M","1,18%"
43,20.10.2023,"28,49","29,13","29,28","28,43","10,33M","-2,40%"
42,23.10.2023,"28,17","28,26","28,63","28,02","10,40M","-1,12%"
41,24.10.2023,"28,16","28,37","28,4","27,89","9,78M","-0,04%"
40,25.10.2023,"28,12","28,22","28,4","27,83","8,49M","-0,14%"
39,26.10.2023,"27,7","27,78","28,02","27,4","9,00M","-1,49%"
38,27.10.2023,"27,48","27,74","27,82","26,99","8,17M","-0,79%"
37,30.10.2023,"27,16","27,44","27,67","26,81","7,56M","-1,16%"
36,31.10.2023,"27,31","27,13","27,42","26,87","8,08M","0,55%"
35,01.11.2023,"27,11","27,45","27,63","27,03","9,95M","-0,73%"
34,02.11.2023,"28,02","26,48","28,04","25,93","13,55M","3,36%"
33,03.11.2023,"27,46","27,89","28,13","27,24","12,90M","-2,00%"
32,06.11.2023,"26,61","27,69","27,72","26,56","9,42M","-3,10%"
31,07.11.2023,"25,53","26,11","26,13","25,42","13,19M","-4,06%"
30,08.11.2023,"24,85","25,3","25,57","24,74","11,91M","-2,66%"
29,09.11.2023,"24,8",25,"25,35","24,79","9,55M","-0,20%"
28,10.11.2023,"25,09","25,09","25,23","24,85","7,06M","1,17%"
27,13.11.2023,"25,08","25,11","25,23","24,89","10,46M","-0,04%"
26,14.11.2023,"25,6","25,09","25,7","25,05","7,90M","2,07%"
25,15.11.2023,"25,41","25,58","25,94","25,38","7,64M","-0,74%"
24,16.11.2023,"24,75","24,97","25,15","24,3","9,44M","-2,60%"
23,17.11.2023,"25,56","25,05","25,81","25,05","11,23M","3,27%"
22,20.11.2023,"25,57","25,81","26,13","25,57","8,65M","0,04%"
21,21.11.2023,"25,31","25,35","25,45","25,06","7,36M","-1,02%"
20,22.11.2023,"25,24","24,53","25,29","24,31","7,87M","-0,28%"
19,24.11.2023,"25,35","25,24","25,59","25,22","4,54M","0,44%"
18,27.11.2023,"25,32","25,2","25,38","25,05","9,61M","-0,12%"
17,28.11.2023,"25,32","25,42","25,58","25,2","7,07M","0,00%"
16,29.11.2023,"25,3","25,45","25,56","25,18","8,30M","-0,08%"
15,30.11.2023,"25,43","25,65","26,25","25,1","15,34M","0,51%"
14,01.12.2023,"25,44","25,35","25,93","25,25","6,86M","0,04%"
13,04.12.2023,"25,06","25,1","25,41",25,"8,27M","-1,49%"
12,05.12.2023,"24,4","25,17","25,19","24,38","7,92M","-2,63%"
11,06.12.2023,"23,54","24,12","24,41","23,52","10,04M","-3,52%"
10,07.12.2023,"23,66","23,69","23,9","23,45","9,35M","0,51%"
9,08.12.2023,"24,09","23,9","24,12","23,79","7,82M","1,82%"
8,11.12.2023,"24,05","23,82","24,27","23,81","7,52M","-0,17%"
7,12.12.2023,"23,35","23,69","23,69","23,14","12,94M","-2,91%"
6,13.12.2023,"23,93","23,45","23,96","23,24","11,15M","2,48%"
5,14.12.2023,"24,44","24,3","24,72","24,26","12,98M","2,13%"
4,15.12.2023,"24,32","24,21","24,42","23,99","23,27M","-0,49%"
3,18.12.2023,"24,57",25,"25,14","24,52","11,47M","1,03%"
2,19.12.2023,"24,84","24,5","24,89","24,39","11,31M","1,10%"
1,20.12.2023,"24,47","24,9","25,1","24,45","10,85M","-1,49%"
45,Open:28.69,,,"Highest:29,56","Chg, %:-15,18%","Lowest:23,14",
