,Date,Price,Open,High,Low,"Vol,","Chg, %"
44,19.10.2023,"53,55","54,1","54,45","53,48","36,00K","-1,31%"
43,20.10.2023,"52,86","53,77","53,77","52,72","50,15K","-1,29%"
42,23.10.2023,"52,34","52,61","53,1","52,27","39,24K","-0,98%"
41,24.10.2023,"52,39","52,44","52,65","51,87","26,35K","0,10%"
40,25.10.2023,"52,32","52,02","52,63","51,98","23,81K","-0,13%"
39,26.10.2023,"52,67","52,63","52,84","52,04","25,12K","0,67%"
38,27.10.2023,"52,5","52,55","52,58","51,74","33,45K","-0,32%"
37,30.10.2023,"52,92","52,79","53,2","52,26","57,15K","0,80%"
36,31.10.2023,"53,58","52,98","53,67","51,63","75,57K","1,25%"
35,01.11.2023,"53,72","53,32","54,29","52,98","36,74K","0,26%"
34,02.11.2023,"56,4","54,88","57,46","54,49","75,18K","4,99%"
33,03.11.2023,"59,65","56,5",60,"56,42","96,05K","5,76%"
32,06.11.2023,"59,9","59,38","59,92","58,68","61,23K","0,42%"
31,07.11.2023,"60,08","59,86","60,33","59,19","42,34K","0,30%"
30,08.11.2023,"59,72","60,42","60,42","59,15","35,37K","-0,60%"
29,09.11.2023,"58,73","59,59","60,52","58,51","36,86K","-1,66%"
28,10.11.2023,"58,82","59,15","59,28","58,26","59,95K","0,15%"
27,13.11.2023,"58,21","58,82","58,82","57,92","67,49K","-1,04%"
26,14.11.2023,"60,03","58,82","60,03","58,2","73,97K","3,13%"
25,15.11.2023,"60,25","60,19","61,23","60,04","62,84K","0,37%"
24,16.11.2023,"60,08",60,"60,35","59,22","36,38K","-0,28%"
23,17.11.2023,"60,48","60,45","61,28","60,23","46,26K","0,67%"
22,20.11.2023,"60,99","60,83","61,01","60,2","66,03K","0,84%"
21,21.11.2023,"61,11","60,65","61,62","60,65","66,04K","0,20%"
20,22.11.2023,"60,63","61,31","62,1","60,33","32,84K","-0,79%"
19,24.11.2023,"60,31","60,27","61,03","59,91","46,67K","-0,53%"
18,27.11.2023,"60,84","59,99","61,14","59,51","60,73K","0,88%"
17,28.11.2023,"59,66","61,12","61,4","59,6","50,42K","-1,94%"
16,29.11.2023,"59,44","60,31","60,72","59,17","48,86K","-0,37%"
15,30.11.2023,"59,63","59,76","60,13","59,15","82,40K","0,32%"
14,01.12.2023,"59,9","59,77","60,14","59,2","69,65K","0,45%"
13,04.12.2023,"61,79","60,06","61,92","59,8","64,25K","3,16%"
12,05.12.2023,"62,54","61,33","63,29","61,33","78,07K","1,21%"
11,06.12.2023,"62,78","63,14","64,37","61,96","60,36K","0,38%"
10,07.12.2023,"63,98","62,46","63,99","62,35","49,57K","1,91%"
9,08.12.2023,"65,21","64,15","65,33","63,79","50,41K","1,92%"
8,11.12.2023,"65,4","64,73","65,5","64,38","59,40K","0,29%"
7,12.12.2023,"65,97","65,17","66,96","64,62","89,41K","0,87%"
6,13.12.2023,"64,65","66,04","66,57","63,5","180,45K","-2,00%"
5,14.12.2023,"66,52","65,03","67,04","64,38","76,94K","2,89%"
4,15.12.2023,"67,45","67,04","68,26","66,68","267,43K","1,40%"
3,18.12.2023,"66,9","67,47","68,54","65,41","66,57K","-0,82%"
2,19.12.2023,"68,36","67,02","68,61","66,98","75,49K","2,18%"
1,20.12.2023,"68,69","68,64","70,45","68,58","64,60K","0,48%"
45,"Open:54,10",,,"Highest:70,45","Chg, %:26,59%","Lowest:51,63",
