,Date,Price,Open,High,Low,Vol.,Chg. %
45,19/10/2023,"8,9","8,98","8,98","8,88","4,09K","-0,67%"
44,20/10/2023,"8,94","8,92","8,98","8,8","7,68K","0,45%"
43,23/10/2023,"8,94","8,94","8,96","8,9","4,84K","0,00%"
42,24/10/2023,"8,88","8,94","8,96","8,88","4,06K","-0,67%"
41,25/10/2023,"8,92","8,94","8,94","8,88","3,42K","0,45%"
40,26/10/2023,"8,9","8,94","8,94","8,84","4,64K","-0,22%"
39,27/10/2023,"8,98","8,94",9,"8,9","10,25K","0,90%"
38,30/10/2023,"8,94","8,94","8,94","8,88","5,25K","-0,45%"
37,31/10/2023,"8,92","8,96","8,98","8,92","5,21K","-0,22%"
36,01/11/2023,"8,98","8,96","8,98","8,94","3,28K","0,67%"
35,02/11/2023,"8,98","9,02","9,02","8,98","5,57K","0,00%"
34,03/11/2023,9,9,"9,02",9,"5,57K","0,22%"
33,06/11/2023,"8,98","8,98",9,"8,94","4,72K","-0,22%"
32,07/11/2023,"8,98","8,96","8,98","8,96","3,98K","0,00%"
31,08/11/2023,"8,98","9,06","9,1","8,98","9,60K","0,00%"
30,09/11/2023,9,9,"9,06","8,98","3,48K","0,22%"
29,10/11/2023,"8,88",9,9,"8,88","5,05K","-1,33%"
28,13/11/2023,"8,94","8,96","8,96","8,84","4,57K","0,68%"
27,14/11/2023,"8,92","8,96","8,96","8,86","3,93K","-0,22%"
26,15/11/2023,"8,92","8,96","8,96","8,88","5,64K","0,00%"
25,16/11/2023,"8,92","8,96","8,96","8,9","4,00K","0,00%"
24,17/11/2023,"8,92","8,98","8,98","8,8","5,89K","0,00%"
23,20/11/2023,"8,9","8,96","8,96","8,88","5,23K","-0,22%"
22,21/11/2023,"8,88","8,96","8,96","8,8","5,28K","-0,22%"
21,22/11/2023,"8,88","8,92","8,92","8,8","5,87K","0,00%"
20,23/11/2023,"8,86","8,92","8,92","8,84","5,13K","-0,23%"
19,24/11/2023,"8,88","8,88","8,9","8,8","6,88K","0,23%"
18,27/11/2023,"8,94","8,92",9,"8,86","4,78K","0,68%"
17,28/11/2023,"8,94","8,96","8,98","8,9","6,06K","0,00%"
16,29/11/2023,"8,9","8,92","8,92","8,82","5,43K","-0,45%"
15,30/11/2023,"8,98","8,9","8,98","8,88","6,00K","0,90%"
14,01/12/2023,"8,96","8,94","8,98","8,94","4,84K","-0,22%"
13,04/12/2023,"8,92","8,98","8,98","8,72","6,65K","-0,45%"
12,05/12/2023,"8,94","8,98","8,98","8,82","5,88K","0,22%"
11,06/12/2023,"8,92","8,96","8,98","8,92","4,59K","-0,22%"
10,07/12/2023,"8,78","8,9","8,94","8,7","9,77K","-1,57%"
9,08/12/2023,"8,84","8,82","8,88","8,74","4,65K","0,68%"
8,11/12/2023,"8,74","8,86","8,86","8,62","6,67K","-1,13%"
7,12/12/2023,"8,54","8,78","8,78","8,48","9,15K","-2,29%"
6,13/12/2023,"8,7","8,62","8,7","8,36","27,78K","1,87%"
5,14/12/2023,"8,9","8,8","8,94","8,72","12,34K","2,30%"
4,15/12/2023,"8,86","8,94","8,98","8,82","7,49K","-0,45%"
3,18/12/2023,"8,92","8,96","8,98","8,88","4,75K","0,68%"
2,19/12/2023,"8,96","8,96","9,1","8,94","21,16K","0,45%"
1,20/12/2023,"9,02","9,06","9,06","8,94","8,62K","0,67%"
46,Open:8.98,,,Highest:9.10,Chg. %:0.67%,Lowest:8.36,
