"Ημ/νία","Τελευταία","Άνοιγμα","Υψηλό","Χαμηλό","Όγκος","Αλλ.%"
"19.10.2023","35,67","35,96","36,36","35,52","28,74M","0,08%"
"18.10.2023","35,64","35,52","36,02","35,45","21,90M","-1,16%"
"17.10.2023","36,06","35,92","36,35","35,07","24,97M","-1,37%"
"16.10.2023","36,56","36,14","36,94","36,08","27,37M","1,64%"
"13.10.2023","35,97","36,74","36,79","35,86","28,41M","-2,36%"
"12.10.2023","36,84","36,80","37,22","36,39","23,56M","-0,11%"
"11.10.2023","36,88","36,62","37,03","36,38","18,74M","1,24%"
"10.10.2023","36,43","36,14","36,74","35,81","23,93M","1,03%"
"09.10.2023","36,06","35,70","36,17","35,50","19,38M","-0,36%"
"06.10.2023","36,19","35,87","36,46","35,18","33,26M","0,84%"
"05.10.2023","35,89","35,97","36,10","35,60","25,75M","-0,11%"
"04.10.2023","35,93","36,52","36,52","35,33","39,76M","0,67%"
"03.10.2023","35,69","35,26","36,54","35,26","44,35M","0,65%"
"02.10.2023","35,46","35,61","35,97","34,98","26,09M","-0,25%"
"29.09.2023","35,55","35,65","35,91","35,15","28,76M","1,05%"
"28.09.2023","35,18","34,65","35,66","34,38","32,24M","1,65%"
"27.09.2023","34,61","33,92","34,83","33,88","44,19M","2,31%"
"26.09.2023","33,83","34,14","34,78","33,64","33,92M","-1,34%"
"25.09.2023","34,29","34,00","34,37","33,76","21,71M","0,32%"
"22.09.2023","34,18","34,81","34,88","34,14","29,24M","-1,36%"
"21.09.2023","34,65","34,57","35,25","34,46","44,95M","-0,12%"
"20.09.2023","34,69","36,22","36,25","34,63","57,51M","-4,54%"
"19.09.2023","36,34","38,04","38,10","36,02","52,33M","-4,34%"
"18.09.2023","37,99","37,62","38,39","37,51","28,38M","0,29%"
"15.09.2023","37,88","38,42","38,52","37,62","68,88M","-2,04%"
"14.09.2023","38,67","38,81","38,90","38,29","30,35M","-0,10%"
"13.09.2023","38,71","38,80","39,15","38,25","34,82M","-0,39%"
"12.09.2023","38,86","38,65","40,07","38,65","54,65M","0,70%"
"11.09.2023","38,59","38,24","38,74","37,84","35,49M","1,53%"
"08.09.2023","38,01","38,12","38,83","37,71","44,27M","-0,45%"
"07.09.2023","38,18","36,83","38,34","36,75","66,64M","3,24%"
"06.09.2023","36,98","36,56","37,04","36,03","39,58M","0,74%"
"05.09.2023","36,71","36,58","37,41","36,46","43,18M","0,27%"
"01.09.2023","36,61","35,79","36,75","35,73","43,81M","4,18%"
"31.08.2023","35,14","34,32","35,56","34,30","47,82M","1,77%"
"30.08.2023","34,53","34,06","34,66","33,78","26,26M","0,64%"
"29.08.2023","34,31","33,49","34,48","33,47","29,85M","2,05%"
"28.08.2023","33,62","33,50","33,78","33,21","22,33M","1,11%"
"25.08.2023","33,25","32,53","33,40","32,35","27,32M","2,03%"
"24.08.2023","32,59","33,72","34,09","32,49","37,79M","-4,09%"
"23.08.2023","33,98","32,88","34,15","32,80","31,81M","3,31%"
"22.08.2023","32,89","33,22","33,80","32,83","23,40M","-0,75%"
"21.08.2023","33,14","32,60","33,17","32,02","43,32M","1,19%"
"18.08.2023","32,75","32,23","32,91","32,18","23,70M","0,52%"
"17.08.2023","32,58","33,56","33,59","32,35","39,87M","-2,83%"
"16.08.2023","33,53","34,52","34,63","33,46","35,47M","-3,57%"
"15.08.2023","34,77","35,41","35,63","34,75","27,38M","-2,55%"
"14.08.2023","35,68","34,67","35,71","34,47","36,90M","2,26%"
"11.08.2023","34,89","34,46","34,94","34,36","28,78M","0,61%"
"10.08.2023","34,68","34,70","35,09","34,48","29,92M","1,17%"
"09.08.2023","34,28","35,00","35,10","34,23","28,65M","-2,11%"
